TnmtID,Shift,CaptainID,Email,TID,T_Lane,Team_Name,T1_ID,T2_ID,T3_ID,T4_ID,Generator,
Tnmt2026,,000104,,000201,22,Acme Packers,000106,000105,000107,000104,20,22
Tnmt2026,,000110,,000202,9,Loren Ipsum,000109,000108,000111,000110,13,15
,,,,,28,,,,,,12,14
,,,,,25,,,,,,11,13
,,,,,37,,,,,,32,34
,,,,,4,,,,,,37,39
,,,,,13,,,,,,16,18
,,,,,23,,,,,,9,11
,,,,,11,,,,,,28,30
,,,,,30,,,,,,5,7
,,,,,27,,,,,,18,20
,,,,,5,,,,,,2,4
,,,,,16,,,,,,4,6
,,,,,32,,,,,,30,32
,,,,,26,,,,,,15,17
,,,,,40,,,,,,26,28
,,,,,36,,,,,,6,8
,,,,,20,,,,,,3,5
,,,,,18,,,,,,22,24
,,,,,12,,,,,,36,38
,,,,,10,,,,,,19,21
,,,,,14,,,,,,39,41
,,,,,17,,,,,,31,33
,,,,,8,,,,,,7,9
,,,,,15,,,,,,21,23
,,,,,38,,,,,,14,16
,,,,,6,,,,,,23,25
,,,,,3,,,,,,29,31
,,,,,7,,,,,,38,40
,,,,,41,,,,,,35,37
,,,,,42,,,,,,40,42
,,,,,19,,,,,,1,3
,,,,,31,,,,,,27,29
,,,,,29,,,,,,24,26
,,,,,33,,,,,,8,10
,,,,,35,,,,,,10,12
,,,,,21,,,,,,17,19
,,,,,34,,,,,,34,36
,,,,,39,,,,,,25,27
,,,,,24,,,,,,33,35
